"id","name","category","price","description","unit_shipping_cost"
1047,"Grilled Snake","Electronics",3482,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",9.927572
1048,"Vichyssoise","Home & Garden",12843,"She spent her earliest years reading classic literature, and writing poetry.",9.361612
1049,"Creamed corn","Office Supply",4683,"I don't even care.",6.2536626
1050,"Chicken à la King","Health & Hygine",16968,"In 1989 the building was heavily damaged by fire, but it has since been restored.",3.9825978
1051,"Milk Steak","Music Instruments",12701,"The arguments can be primitive data types or compound data types.",3.7959194
1052,"Sweetbreads","Electronics",7768,"Do you have any idea why this is not working?",2.416535
1053,"Brunswick stew","Office Supply",18893,"Erlang is a general-purpose, concurrent, functional programming language.",8.184877
1054,"Falafel","Books",12651,"Atoms are used within a program to denote distinguished values.",7.893489
1055,"Cinnamon Roll","Electronics",8805,"Its main implementation is the Glasgow Haskell Compiler.",6.6676836
1056,"Calf's liver and bacon","Books",18306,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",7.2781773
1057,"Pocky","Sports & Outdoor",3127,"She spent her earliest years reading classic literature, and writing poetry.",7.343786
1058,"Paella","Sports & Outdoor",7716,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",7.66901
1059,"Pickled cucumber","Video Games",10575,"Atoms are used within a program to denote distinguished values.",5.403865
1060,"Chocolate cheesecake","Home & Garden",18282,"Type classes first appeared in the Haskell programming language.",5.3502464
1061,"Caviar","Home & Garden",4309,"Any element of a tuple can be accessed in constant time.",8.263001
1062,"Smelt","Fashion",3051,"Tuples are containers for a fixed number of Erlang data types.",3.830337
1063,"Spaghetti Bolognese","Video Games",18154,"I don't even care.",3.4750233
1064,"Empanada","Sports & Outdoor",11806,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",4.103114
1065,"Kimchi","Beauty & Personal",8847,"Do you have any idea why this is not working?",4.8745456
1066,"London broil","Music Instruments",12721,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",2.051438
1067,"Chicken à la King","Home & Garden",17788,"Atoms are used within a program to denote distinguished values.",4.6104074
1068,"Alice Springs Chicken","Fashion",8640,"In 1989 the building was heavily damaged by fire, but it has since been restored.",2.7012875
1069,"Chicago Hot Dog","Electronics",19608,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",4.8930283
1070,"Tetrazzini","Home & Garden",657,"Atoms are used within a program to denote distinguished values.",9.1238
1071,"Banh Mi Viêt","Home & Garden",19601,"Ports are created with the built-in function open_port.",9.903408
1072,"Chicken sandwich","Home & Garden",16908,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",6.5813947
1073,"Bi Bim Bap","Books",807,"It is also a garbage-collected runtime system.",4.0342956
1074,"Senate bean soup","Fashion",6801,"He looked inquisitively at his keyboard and wrote another sentence.",7.89193
1075,"Italian Beef Sandwich","Sports & Outdoor",1777,"Tuples are containers for a fixed number of Erlang data types.",6.0409365
1076,"Garlic bread","Electronics",11544,"Erlang is a general-purpose, concurrent, functional programming language.",9.839514
1077,"Schnitzel","Electronics",6016,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",3.3832622
1078,"Steak sauce","Sports & Outdoor",10907,"He looked inquisitively at his keyboard and wrote another sentence.",9.72898
1079,"Rice and gravy","Books",11206,"It is also a garbage-collected runtime system.",6.2011857
1080,"Corn dog","Fashion",12903,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",6.2769365
1081,"Pastrami on Rye","Books",5404,"Make me a sandwich.",5.0500393
1082,"Seafood cocktail","Beauty & Personal",14089,"Type classes first appeared in the Haskell programming language.",5.936431
1083,"Charleston red rice","Music Instruments",1439,"She spent her earliest years reading classic literature, and writing poetry.",2.9943318
1084,"Bacon Cheeseburger","Fashion",14423,"I don't even care.",4.8567386
1085,"Doughnut","Sports & Outdoor",3268,"The arguments can be primitive data types or compound data types.",6.271668
1086,"Cheesy Garlic Bread","Fashion",6930,"In 1989 the building was heavily damaged by fire, but it has since been restored.",2.7123327
1087,"Pepperoni","Home & Garden",4805,"Erlang is known for its designs that are well suited for systems.",4.6158624
1088,"Meatcake","Electronics",8536,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",7.824032
1089,"Salisbury steak","Electronics",14696,"He looked inquisitively at his keyboard and wrote another sentence.",5.742825
1090,"Chimichanga","Video Games",13181,"Do you have any idea why this is not working?",3.6154897
1091,"Chicken Liver Pate","Office Supply",17945,"I don't even care.",8.64624
1092,"Scrapple","Fashion",17678,"Atoms are used within a program to denote distinguished values.",8.465254
1093,"Blue-plate special","Music Instruments",3090,"The arguments can be primitive data types or compound data types.",3.5278695
1094,"Spanish rice","Video Games",5146,"In 1989 the building was heavily damaged by fire, but it has since been restored.",4.839784
1095,"Ammonia cookie","Health & Hygine",17474,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",6.0588136
1096,"Matzo Ball Soup","Sports & Outdoor",7337,"Erlang is known for its designs that are well suited for systems.",6.8465323
1097,"Mango and Sticky Rice","Books",6272,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",8.490965
1098,"Huevos Rancheros","Electronics",14722,"Tuples are containers for a fixed number of Erlang data types.",3.731304
1099,"Macaroni and cheese","Music Instruments",6831,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",5.3467917
1100,"Protein bar","Home & Garden",8729,"Make me a sandwich.",4.7030663
1101,"Souvlaki","Books",12981,"Haskell features a type system with type inference and lazy evaluation.",8.879958
1102,"Hot Chicken sandwich","Electronics",1385,"Make me a sandwich.",8.565272
1103,"Poutine","Home & Garden",19239,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",9.458317
1104,"Hot Chicken sandwich","Office Supply",5831,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",4.134746
1105,"Protein bar","Books",9387,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",5.663624
1106,"Vegemite on Toast","Fashion",6086,"Any element of a tuple can be accessed in constant time.",9.102617
1107,"Chile Relleno","Electronics",8012,"It is also a garbage-collected runtime system.",7.775328
1108,"Chicken sandwich","Office Supply",12281,"Atoms are used within a program to denote distinguished values.",9.742817
1109,"Ribs","Music Instruments",10762,"Make me a sandwich.",3.1464388
1110,"Breakfast burrito","Sports & Outdoor",2204,"She spent her earliest years reading classic literature, and writing poetry.",8.172985
1111,"St. Paul Sandwich","Health & Hygine",6263,"Its main implementation is the Glasgow Haskell Compiler.",6.8270307
1112,"Drunken chicken","Books",6779,"In 1989 the building was heavily damaged by fire, but it has since been restored.",3.9892826
1113,"Milk toast","Health & Hygine",4757,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",3.1204572
1114,"Massaman Curry","Video Games",18514,"Erlang is known for its designs that are well suited for systems.",7.5370493
1115,"Fish Tacos","Home & Garden",782,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",9.786982
1116,"Jell-O","Books",7703,"She spent her earliest years reading classic literature, and writing poetry.",7.7236366
1117,"Scampi","Office Supply",19003,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",5.4093614
1118,"Domesticated turkey","Office Supply",1809,"Erlang is a general-purpose, concurrent, functional programming language.",8.655103
1119,"Phaal","Music Instruments",19652,"In 1989 the building was heavily damaged by fire, but it has since been restored.",9.417765
1120,"Russian tea cake","Electronics",2753,"Make me a sandwich.",7.8695955
1121,"Sausage gravy","Video Games",18688,"Type classes first appeared in the Haskell programming language.",7.7404447
1122,"Apple sauce","Sports & Outdoor",18647,"Ports are used to communicate with the external world.",6.344508
1123,"Scampi","Electronics",5582,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",2.2602558
1124,"Sausage gravy","Office Supply",4623,"Do you come here often?",5.358176
1125,"Cobb Salad","Fashion",1486,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",8.442773
1126,"Maple Bacon Doughnut","Office Supply",15310,"Erlang is known for its designs that are well suited for systems.",8.371055
1127,"Fortune cookie","Office Supply",17409,"Do you come here often?",5.6741786
1128,"Cowboy beans","Electronics",1352,"Do you have any idea why this is not working?",6.513658
1129,"Poppyseed muffin","Video Games",16105,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",4.417482
1130,"Currywurst","Music Instruments",8256,"Any element of a tuple can be accessed in constant time.",8.945149
1131,"Swiss steak","Music Instruments",6014,"Tuples are containers for a fixed number of Erlang data types.",3.6225173
1132,"Sauteed Morel Mushrooms","Music Instruments",11370,"Tuples are containers for a fixed number of Erlang data types.",3.7369156
1133,"Shish Kabob","Electronics",15593,"I don't even care.",4.580026
1134,"Mulligan stew","Fashion",10414,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",6.8890295
1135,"Chicken and waffles","Music Instruments",926,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",7.3162346
1136,"Potato salad","Music Instruments",7909,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",8.486442
1137,"Boulliabaise","Fashion",2857,"The arguments can be primitive data types or compound data types.",8.8641
1138,"Buffalo wing","Health & Hygine",14112,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",4.9070635
1139,"Spring Rolls","Sports & Outdoor",18146,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",7.060065
1140,"Fajita","Electronics",8920,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",9.696458
1141,"Thousand Island dressing","Sports & Outdoor",18009,"Type classes first appeared in the Haskell programming language.",3.3607264
1142,"Fattoush Salad","Home & Garden",11266,"Type classes first appeared in the Haskell programming language.",9.799112
1143,"Sandwich","Music Instruments",5006,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",2.9979045
1144,"Cheese dog","Books",13163,"The arguments can be primitive data types or compound data types.",6.863626
1145,"St. Paul Sandwich","Video Games",18064,"Ports are used to communicate with the external world.",4.1183825
1146,"Prawn Pizza","Music Instruments",5832,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",6.697152
1147,"Philly Cheese Steak","Beauty & Personal",5664,"Tuples are containers for a fixed number of Erlang data types.",3.2525349
1148,"Chicago Deep Dish Pizza","Sports & Outdoor",1940,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",7.182768
1149,"Greek salad","Beauty & Personal",2747,"It is also a garbage-collected runtime system.",5.4884634
1150,"Bangers and mash","Sports & Outdoor",9713,"Haskell features a type system with type inference and lazy evaluation.",3.1120872
1151,"Cheese Curds","Books",16183,"Haskell features a type system with type inference and lazy evaluation.",6.3268614
1152,"Corn dog","Sports & Outdoor",6753,"Ports are created with the built-in function open_port.",2.362891
1153,"Eggs Benedict","Office Supply",8818,"In 1989 the building was heavily damaged by fire, but it has since been restored.",5.728291
1154,"Crepes","Sports & Outdoor",18563,"Ports are created with the built-in function open_port.",3.2628033
1155,"Poke","Health & Hygine",10301,"Atoms are used within a program to denote distinguished values.",4.2576528
1156,"Coleslaw","Fashion",16791,"Atoms are used within a program to denote distinguished values.",5.2379494
1157,"Onion Rings","Home & Garden",1676,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",6.304786
1158,"Bear claw","Office Supply",7155,"I don't even care.",5.0299444
1159,"Tamales","Home & Garden",12452,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",7.7524786
1160,"Macaroni salad","Office Supply",1694,"Haskell features a type system with type inference and lazy evaluation.",3.614735
1161,"Creamed eggs on toast","Books",18358,"Atoms are used within a program to denote distinguished values.",4.1241193
1162,"City chicken","Music Instruments",9611,"Its main implementation is the Glasgow Haskell Compiler.",6.0124326
1163,"Cheese dog","Sports & Outdoor",3428,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",5.7911654
1164,"Shawarma","Beauty & Personal",3430,"Where are my pants?",7.4904857
1165,"Sushi","Electronics",3526,"Make me a sandwich.",8.599461
1166,"Sonofabitch stew","Video Games",11743,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",5.0652366
1167,"Dirty rice","Sports & Outdoor",14782,"The arguments can be primitive data types or compound data types.",7.0939794
1168,"Phaal","Sports & Outdoor",8673,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",3.860623
1169,"Empanada","Home & Garden",10900,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",3.839326
1170,"Carne pizzaiola","Books",4832,"Ports are created with the built-in function open_port.",4.2831316
1171,"Oreo","Beauty & Personal",5975,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",9.001614
1172,"Pancakes","Health & Hygine",5066,"Ports are created with the built-in function open_port.",8.883235
1173,"Chicken à la King","Beauty & Personal",11952,"Ports are used to communicate with the external world.",4.2735853
1174,"Polenta","Electronics",6719,"Type classes first appeared in the Haskell programming language.",5.6289306
1175,"Mozzarella sticks","Music Instruments",15097,"Tuples are containers for a fixed number of Erlang data types.",5.7953863
1176,"Alphabet pasta","Music Instruments",11028,"Where are my pants?",6.1648607
1177,"Massaman Curry","Music Instruments",6032,"I don't even care.",4.0802197
1178,"Grilled Snake","Home & Garden",12961,"He looked inquisitively at his keyboard and wrote another sentence.",8.596027
1179,"Spring Rolls","Video Games",18292,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",7.9255705
1180,"Churrasco","Beauty & Personal",3977,"Where are my pants?",8.74876
1181,"Jalapeno Poppers","Home & Garden",17524,"It is also a garbage-collected runtime system.",6.625141
1182,"Choco pie","Home & Garden",4527,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",7.7740574
1183,"Pickled cucumber","Sports & Outdoor",19205,"It is also a garbage-collected runtime system.",5.0158677
1184,"Pickled Okra","Fashion",6814,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",8.523865
1185,"Sour cream","Books",8425,"Where are my pants?",6.549871
1186,"Steak Tartare","Home & Garden",513,"Erlang is known for its designs that are well suited for systems.",4.753523
1187,"Swiss steak","Books",6550,"Type classes first appeared in the Haskell programming language.",8.40615
1188,"Chicken fried bacon","Sports & Outdoor",13385,"Haskell features a type system with type inference and lazy evaluation.",5.6259475
1189,"Chicken herby pasta bake","Books",17586,"Atoms are used within a program to denote distinguished values.",9.241674
1190,"Bruschetta","Beauty & Personal",7130,"The arguments can be primitive data types or compound data types.",7.5136647
1191,"Sweetbreads","Office Supply",15006,"Haskell features a type system with type inference and lazy evaluation.",9.002066
1192,"Funnel Cake","Books",6112,"She spent her earliest years reading classic literature, and writing poetry.",8.330066
1193,"Tres Leches Cake","Music Instruments",8238,"I don't even care.",6.251931
1194,"Meat Feast Pizza","Sports & Outdoor",3935,"Erlang is known for its designs that are well suited for systems.",4.686553
1195,"Jell-O","Sports & Outdoor",17790,"She spent her earliest years reading classic literature, and writing poetry.",5.1592474
1196,"Huevos Rancheros","Music Instruments",9284,"Tuples are containers for a fixed number of Erlang data types.",7.0448627
1197,"Protein bar","Books",7784,"Erlang is a general-purpose, concurrent, functional programming language.",2.384361
1198,"Kobe Beef","Home & Garden",19782,"Its main implementation is the Glasgow Haskell Compiler.",9.568118
1199,"Blue-plate special","Health & Hygine",16888,"Its main implementation is the Glasgow Haskell Compiler.",9.049897
1200,"Pork Belly","Electronics",10454,"Make me a sandwich.",9.251002
1201,"Soft Shell Crab","Sports & Outdoor",13118,"Any element of a tuple can be accessed in constant time.",8.477511
1202,"Meatloaf","Video Games",10523,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",6.328516
1203,"Salted caramel cookie","Electronics",15545,"Make me a sandwich.",6.828359
1204,"Chowder","Video Games",17647,"Erlang is a general-purpose, concurrent, functional programming language.",4.7139463
1205,"Protein bar","Video Games",2453,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",2.0448713
1206,"Grilled Snake","Music Instruments",11214,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",6.068333
1207,"Supreme pizza","Music Instruments",16592,"Erlang is a general-purpose, concurrent, functional programming language.",9.745856
1208,"Glorified rice","Sports & Outdoor",14927,"He looked inquisitively at his keyboard and wrote another sentence.",3.2963157
1209,"Corn flakes","Beauty & Personal",611,"Erlang is known for its designs that are well suited for systems.",6.9729977
1210,"Soft Shell Crab","Electronics",17088,"Where are my pants?",5.2486315
1211,"Tuna Pizza","Fashion",3519,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",8.98557
1212,"Hoppin' John","Home & Garden",17214,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",4.8114166
1213,"Ice Cream","Beauty & Personal",12207,"It is also a garbage-collected runtime system.",9.500192
1214,"Mission burrito","Home & Garden",16263,"Any element of a tuple can be accessed in constant time.",8.943416
1215,"Root Beer Float","Books",9560,"Do you have any idea why this is not working?",7.7023726
1216,"Ploye","Books",16238,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",4.6041594
1217,"Turkish Delight","Beauty & Personal",6271,"Make me a sandwich.",5.794935
1218,"Goulash","Office Supply",5065,"Where are my pants?",3.5619428
1219,"Hot Chicken sandwich","Video Games",14833,"He looked inquisitively at his keyboard and wrote another sentence.",9.850762
1220,"Glorified rice","Beauty & Personal",14174,"Do you have any idea why this is not working?",2.5409863
1221,"Meat Feast Pizza","Beauty & Personal",2665,"Do you come here often?",6.2580013
1222,"Mashed potato","Sports & Outdoor",5666,"Make me a sandwich.",6.722246
1223,"Maple Bacon Doughnut","Fashion",11047,"The arguments can be primitive data types or compound data types.",9.225963
1224,"Peanut butter","Beauty & Personal",18302,"Where are my pants?",4.2985806
1225,"Buffalo burger","Home & Garden",10481,"Where are my pants?",7.634767
1226,"Scampi","Electronics",11294,"I don't even care.",8.065757
1227,"Sausage gravy","Music Instruments",13845,"It is also a garbage-collected runtime system.",9.66457
1228,"Poke","Video Games",5690,"I don't even care.",9.963933
1229,"Protein bar","Home & Garden",12079,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",9.345516
1230,"Carolina style","Video Games",13841,"Its main implementation is the Glasgow Haskell Compiler.",8.792215
1231,"Buffalo burger","Home & Garden",5086,"Its main implementation is the Glasgow Haskell Compiler.",2.391811
1232,"Jalapeno Poppers","Electronics",4343,"Atoms are used within a program to denote distinguished values.",9.5111
1233,"Sichuan Hot Pot","Beauty & Personal",3726,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",5.746774
1234,"Ploye","Sports & Outdoor",9326,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",5.1751943
1235,"Kobe Beef","Beauty & Personal",2362,"Any element of a tuple can be accessed in constant time.",2.2657504
1236,"Fried chicken","Fashion",8741,"Ports are created with the built-in function open_port.",2.1925635
1237,"Salted caramel cookie","Video Games",4662,"In 1989 the building was heavily damaged by fire, but it has since been restored.",7.866247
1238,"Potato salad","Books",4330,"Ports are used to communicate with the external world.",2.6418374
1239,"Russian tea cake","Office Supply",6151,"Erlang is known for its designs that are well suited for systems.",4.417767
1240,"Deviled egg","Home & Garden",1695,"He looked inquisitively at his keyboard and wrote another sentence.",7.7465496
1241,"French Onion Soup","Health & Hygine",11361,"Ports are used to communicate with the external world.",8.74737
1242,"Rice and gravy","Fashion",8329,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",7.1151776
1243,"Piroshky","Beauty & Personal",2216,"Make me a sandwich.",3.5598807
1244,"Salted caramel cookie","Fashion",8075,"Tuples are containers for a fixed number of Erlang data types.",8.732427
1245,"Thousand Island dressing","Electronics",6571,"Atoms are used within a program to denote distinguished values.",9.126274
1246,"Chimichanga","Fashion",16931,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",5.62206
1247,"Steamed clams","Sports & Outdoor",7193,"Ports are used to communicate with the external world.",9.637651
1248,"Hawaiian haystack","Electronics",16799,"Haskell features a type system with type inference and lazy evaluation.",7.451796
1249,"Chicken Tikka Masala","Sports & Outdoor",15036,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",3.8274364
1250,"Chicharones","Music Instruments",16441,"Where are my pants?",7.3391027
1251,"Ice Cream","Office Supply",14869,"He looked inquisitively at his keyboard and wrote another sentence.",7.163999
1252,"Chicken French","Fashion",8160,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",8.040224
1253,"Fajitas","Books",8277,"Ports are used to communicate with the external world.",2.2360857
1254,"New York-Style Pizza","Fashion",12051,"Do you come here often?",4.7829003
1255,"Onion Rings","Fashion",3042,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",3.6694722
1256,"Cheesy Garlic Bread","Health & Hygine",18402,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",7.6016912
1257,"Low Country Boil","Music Instruments",1660,"Haskell features a type system with type inference and lazy evaluation.",4.693461
1258,"Bulgogi","Beauty & Personal",5067,"It is also a garbage-collected runtime system.",2.332632
1259,"Margherita Pizza","Home & Garden",16133,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",9.323913
1260,"Cheese fries","Office Supply",11610,"Do you have any idea why this is not working?",3.9216301
1261,"Cheese balls","Sports & Outdoor",13123,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",5.296844
1262,"Juba","Sports & Outdoor",17625,"He looked inquisitively at his keyboard and wrote another sentence.",8.000299
1263,"Pumpkin pie","Fashion",4098,"Ports are used to communicate with the external world.",7.3528223
1264,"Rabbit pie","Beauty & Personal",1433,"Ports are used to communicate with the external world.",3.17892
1265,"Black Pudding","Health & Hygine",2782,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",6.725625
1266,"American fried rice","Video Games",13859,"Do you have any idea why this is not working?",4.1958814
1267,"Drunken chicken","Music Instruments",11336,"Erlang is a general-purpose, concurrent, functional programming language.",3.6397052
1268,"Lorna Doone","Sports & Outdoor",13642,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",4.912021
1269,"Pastrami on Rye","Electronics",18179,"Do you come here often?",2.5249763
1270,"Gumbo","Home & Garden",7933,"Any element of a tuple can be accessed in constant time.",4.227306
1271,"Shawarma","Music Instruments",3334,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",2.3607748
1272,"Breaded shrimp","Video Games",1473,"Tuples are containers for a fixed number of Erlang data types.",9.966075
1273,"Mini pizzas","Fashion",6224,"Type classes first appeared in the Haskell programming language.",2.0205407
1274,"Brisket","Electronics",2110,"Ports are used to communicate with the external world.",4.784541
1275,"Philly Cheese Steak","Video Games",874,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",4.434286
1276,"Mozzarella sticks","Sports & Outdoor",14671,"Any element of a tuple can be accessed in constant time.",9.640686
1277,"Chips and dip","Electronics",7838,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",8.438993
1278,"Coq Au Vin","Video Games",4186,"The arguments can be primitive data types or compound data types.",2.330744
1279,"Hoppin' John","Books",19866,"Where are my pants?",8.411389
1280,"Tuna Pizza","Video Games",4220,"The arguments can be primitive data types or compound data types.",2.4690228
1281,"Brisket","Electronics",17153,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",9.296243
1282,"Ice Cream","Music Instruments",3715,"The arguments can be primitive data types or compound data types.",4.492809
1283,"Key Lime Pie","Video Games",8329,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",6.045054
1284,"Ice Cream","Fashion",4684,"Haskell features a type system with type inference and lazy evaluation.",5.976722
1285,"Pistachio Ice Cream","Home & Garden",4905,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",5.739949
1286,"Elote","Books",4658,"Make me a sandwich.",8.333067
1287,"Pan Seared Scallops","Fashion",13364,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",3.0377944
1288,"Pizza strips","Home & Garden",2688,"Ports are created with the built-in function open_port.",7.1203585
1289,"Texas Toast","Fashion",3630,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",4.2030206
1290,"Poke","Electronics",19308,"Atoms are used within a program to denote distinguished values.",5.3875775
1291,"Pizza strips","Fashion",10250,"Haskell features a type system with type inference and lazy evaluation.",4.4250736
1292,"Shepherd's Pie","Home & Garden",14231,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",6.805173
1293,"Stuffed zucchini","Video Games",16466,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",7.1697273
1294,"Salmon pasta bake","Books",8289,"Haskell features a type system with type inference and lazy evaluation.",6.2039294
1295,"Chicken sandwich","Fashion",2484,"Do you have any idea why this is not working?",6.017689
1296,"Pigs in blankets","Home & Garden",14212,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing.",3.472399
1297,"Chile Relleno","Fashion",12449,"In 1989 the building was heavily damaged by fire, but it has since been restored.",6.6678376
1298,"Moules Frites","Office Supply",12974,"Tuples are containers for a fixed number of Erlang data types.",2.340323
1299,"Oreo","Electronics",18152,"It is also a garbage-collected runtime system.",4.9656115
1300,"Chimichanga","Beauty & Personal",12301,"Atoms are used within a program to denote distinguished values.",7.417255
1301,"Schnitzel","Books",9524,"Haskell features a type system with type inference and lazy evaluation.",7.3565187
1302,"Pan Seared Scallops","Office Supply",6312,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",8.744285
1303,"Mini pizzas","Fashion",4518,"Where are my pants?",3.9652648
1304,"Russian tea cake","Home & Garden",9847,"The arguments can be primitive data types or compound data types.",5.332247
1305,"Clam cake","Books",18283,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",8.092373
1306,"Grilled Snake","Books",2912,"Any element of a tuple can be accessed in constant time.",2.5253167
1307,"Steak Tartare","Beauty & Personal",15127,"Erlang is a general-purpose, concurrent, functional programming language.",9.07055
1308,"Clam chowder","Electronics",13768,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",7.9767284
1309,"Corn chowder","Electronics",6058,"Where are my pants?",8.13238
1310,"Empanada","Fashion",1466,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",8.336345
1311,"Falafel","Beauty & Personal",18413,"Ports are used to communicate with the external world.",7.411854
1312,"Soft Shell Crab","Sports & Outdoor",5448,"Its main implementation is the Glasgow Haskell Compiler.",4.5071645
1313,"Cordon bleu","Electronics",12999,"Do you have any idea why this is not working?",9.123965
1314,"Cinnamon Roll","Video Games",6992,"Do you have any idea why this is not working?",2.1497512
1315,"Schnitzel","Fashion",4997,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",7.4465275
1316,"Shepherd's Pie","Sports & Outdoor",10433,"Atoms are used within a program to denote distinguished values.",6.156714
1317,"Fish and Chips!","Health & Hygine",14065,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",8.494614
